Model,threshold,accuracy,precision,recall,f1,mcc,auc_roc,auc_pr,true_negative,false_positive,false_negative,true_positive
FCNN,0.5888461470603943,0.8771266540642723,0.7068965517241379,0.7256637168141593,0.7161572052401747,0.6378558066895055,0.8971026208304969,0.7765796046863739,382,34,31,82
Random Forest,0.4856483311568681,0.8960302457466919,0.7636363636363637,0.7433628318584071,0.7533632286995515,0.68760996156391,0.9399463921034718,0.8381982731734337,390,26,29,84
XGBoost,0.19562377035617828,0.9111531190926276,0.7796610169491526,0.8141592920353983,0.7965367965367965,0.7400226339778484,0.9488172226004085,0.8761146232729666,390,26,21,92
Isolation Forest,-0.1362395699487503,0.5368620037807184,0.2870967741935484,0.7876106194690266,0.42080378250591016,0.2133213360577376,0.6028335602450646,0.23913260646017054,195,221,24,89
